,contentId,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
4761910285123871012,4761910285123871012,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,Extreme Style Machines:Using Random Neural Networks to Generate Textures,How a Chatbot Helped This Vinyl Records Startup Make $1 Million in 8 Months,O potencial do bitcoin na América Latina,5 reasons your employees aren't sharing their knowledge
4774970687540378081,4774970687540378081,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The new tech talent you need to succeed in digital,Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,How to Create an Exponential Mindset,Honda: mulheres já respondem por 50% das vendas via consórcio
4776828703162554224,4776828703162554224,Moovit's new Facebook chatbot for transport proves v0 is not going to be good,Front in BH 2016,Like It Is: Bob Dylan Explains What Really Killed Rock 'n' Roll,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Sign Up for Mike Cohn's Best Content
4780818054552370624,4780818054552370624,Para inovar é preciso mais do que boas ideias - Startupi,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,Introducing Cloud Spanner: a global database service for mission-critical applications,Introducing the Google Analytics Demo Account for Learning,Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data
4781931173636001110,4781931173636001110,Why Uber Is Killing the Bank (And What That Means for Everything Else),Digital Leadership Is Not an Optional Part of Being a CEO,Segment helps businesses integrate third-party sources into their data pipelines,Marketing Technology Landscape Supergraphic (2016) - Chief Marketing Technologist,In defense of the Uber-ization of everything
4783081874753928396,4783081874753928396,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,Here's how Evernote moved 3 petabytes of data to Google's cloud,Hedron: Or my dissatisfaction with local development #Drupal,Build Quality In: The Key to Continuous Delivery in Kanban,Google's fair use victory is good for open source
4785499183287168509,4785499183287168509,VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,"The new, scary face of auto insurance",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Accenture and Adboe team on customer enegagement,Digital Leadership Is Not an Optional Part of Being a CEO
4788854083489560153,4788854083489560153,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,Effective learning through code workshops | Box Blog,7 Tips to Create a Company Learning Culture like Google - Without Resources,"Olhar Digital: Notícia: Testamos o HoloLens, os óculos do futuro da Microsoft"
4807721425375438334,4807721425375438334,10 Stats About Artificial Intelligence That Will Blow You Away -- The Motley Fool,To Be Continued: Helping you find shows you want to continue watching,"At eBay, Machine Learning is Driving Innovative New Approaches to Search Experiences",How to choose algorithms for Microsoft Azure Machine Learning,AI Is Here to Help You Write Emails People Will Actually Read
4814419120794996930,4814419120794996930,Mapping the World of Music Using Machine Learning: Part 1 - iHeartRadio Tech Blog,How I got into the top 15 of a Kaggle competition in 3 days: A Python Tutorial,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine,Google researchers teach AIs to see the important parts of images - and tell you about them,Machine learning at the museum: this week on Google Cloud Platform
4815632823882298534,4815632823882298534,Mastercard libera APIs para quem quer desenvolver novas fintechs,"Agile is Dead, Long Live Continuous Delivery - Gradle",Swift Top 10 Articles For The Past Year (v.2017),What DeepMind brings to Alphabet,The brilliant mechanics of Pokémon Go
4831903061865014867,4831903061865014867,Spring Boot 1.4 released,Test Driven Development by Example: Validation in Java,How Kotlin became our primary language for Android - UPTech Team,Introduction to Spring REST Docs | Baeldung,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!"
4843782008053284888,4843782008053284888,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",Apple Has Created 'Detailed Mockups' of iMessage for Android,Google Cloud Goes to the Farm,To bot or not to bot,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog"
4861691621484862889,4861691621484862889,The Language of Beauty Ads,Savage Love Letter of the Day: Get Out There and Fight,Write Like You Talk,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer
4865901874365409673,4865901874365409673,"Inbox by Gmail: a better way to keep track of events, newsletters and links",Configuring OSGi,Adobe CQ/Adobe AEM,Workspace Filter,Adobe CQ/Adobe AEM
4876769046116846438,4876769046116846438,NoSQL Performance Benchmarks,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,Gartner Reprint,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Home-Made Twitter and Gmail Notifications with PHP and Arduino
4877833951599818487,4877833951599818487,Humanos seriam desse jeito se evoluíssem para sobreviver a acidentes de carro,"How to build a robot that ""sees"" with $100 and TensorFlow",15 Interesting JavaScript and CSS Libraries for October 2016,The Java 8 API Design Principles,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic"
4891010769166501207,4891010769166501207,Spring Boot 1.4 released,Introduction to Spring REST Docs | Baeldung,How Kotlin became our primary language for Android - UPTech Team,Taking Microservices Home - NGINX,"Kotlin in Production - What works, Whats broken"
4891164246772479976,4891164246772479976,LOGOBR School | Behance Reviews Campinas 2016,A identidade visual de Budapeste para as Olimpíadas de 2024,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,TAM recebe primeira aeronave com o design e pintura da LATAM e avança na implantação da nova marca!,Forget the Cloud - 'The Fog' Is the Next Big Thing | Fox Business
4893900714822288649,4893900714822288649,[Tools] XMind Plus - Last Chance for students' 1$ gift,[Webinar] PMI | Project Management Institute,[Framework] Lean IT Governance,[Event] CuboTalks,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio
4894833130708450490,4894833130708450490,Como o Facebook testa o impacto que a atualização dos apps têm na bateria dos smartphones,UE não dá sossego ao Google. Novo alvo? O AdSense,Resenha - A Chegada,StrictMode for Runtime Analysis on Android - Google Developers,The Rise And Growth of Ethereum Gets Mainstream Coverage
4899554125167253337,4899554125167253337,From Insight-as-a-Service to insightful applications,The Secret History of Agile Innovation,"Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera",Scientists discover potentially habitable planets,Jeff Seguros: SEGUROS E GAMES
4904775878165401439,4904775878165401439,5 Asian Trends for 2017,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",O seu conteúdo está preparado para as duas internets?,"Google tests a more personalized version of its virtual assistant, Google Now",Top 5 Android Testing Frameworks with Examples
4911701623098526999,4911701623098526999,Mobile marketing statistics 2016,The barbell effect of machine learning.,Google Cloud Goes to the Farm,Skully officially admits it's over,Google and Ray Kurzweil are making chatbots together
4915137112517573184,4915137112517573184,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Lista tem 15 dicas para Google Docs; teste,How Coca-Cola Is Harvesting Innovation Energy From Startups,O uso da vírgula e seus pré-requisitos - Português,Japanese for dummies
4916417766268744775,4916417766268744775,[Event] Palestra Competitive Strategy and Competition,Replace Lego's $190 Intelligent Brick with MIT's Scratch and a $40 Raspberry Pi,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud","[Hangout] StartSe promove hangout gratuito com Caio Poli, do Nubank; inscreva-se"
4918358495761748770,4918358495761748770,Cartórios Não Podem Recusar Registro De Filhos De Casais Homoafetivos,Nova campanha da Avon tem drag queen como estrela,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Campanha do Dicionário Houaiss pretende mudar a definição de família,Amor sem fronteiras: série de fotos retrata casais gays pelo mundo
4920704891238922872,4920704891238922872,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Dial in with ease using the latest Google Calendar app for Android,Google moves to replace Flash with HTML5,"Google and Levi's team up on a ""connected"" jacket that lets you answer calls, use maps, and more",Google lança teclado virtual para iPhone com recursos de pesquisa | Google Discovery
4950037926975347884,4950037926975347884,Better together: New Microsoft integrations for easier collaboration,Why The New Chatbot Invasion Is So Different From Its Predecessors,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,"Desenvolvendo Android, por onde começar? - Android Dev BR",3M e o perfil intraempreendedor | Endeavor Brasil
4999440443052714243,4999440443052714243,Addressing Accessibility for the Web,Características de Arquiteturas Evolutivas,Google Is Finally Redesigning Its Biggest Cash Cow: AdWords,Google: Here's how a software update knocked out our App Engine cloud | ZDNet,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card"
5008913705695203000,5008913705695203000,The Importance of Code Reviews,Optimizing the Performance of Vector Drawables - upday devs,Sam Newman - Backends For Frontends,Firebase Test Lab for Android,Up your app's sharing game with DirectShare - Google Developers
5018472516978866574,5018472516978866574,Automation and anxiety,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Nintendo has doubled in value since Pokémon Go's release,"How to build a robot that ""sees"" with $100 and TensorFlow",How enterprise architects can help ensure success with digital transformations
5032631648793129465,5032631648793129465,Documentando uma API JAX-RS com Swagger,Spring Boot 1.5.1 released,What to Inspect When You are Inspecting!,Serverless Architectures,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions"
5036201777135800491,5036201777135800491,15 Interesting JavaScript and CSS Libraries for September 2016,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Introducing Mini Courses with MS Chatbots,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,Create a Slack Bot to Interact with Your Wiki
5037221949349729844,5037221949349729844,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Google employees are adding 'Lady' to their job titles to fight sexism,O dia em que tive mais medo de estar errada.,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,#Sentaquelávemtextão
5037403311832115000,5037403311832115000,Five things to include in your digital transformation playbook,Who sponsors Drupal development? | Dries Buytaert,America's allies are preparing for a bumpy ride,Walmart compra startup para brigar com Amazon | EXAME.com,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together
5045927063019110283,5045927063019110283,"National Coming Out Day - Wikipedia, the free encyclopedia",Comprar roupas está ficando fora de moda no Reino Unido,[Retro] Celebration Grids - Management 3.0,Program your way to your next grocery delivery,"The future of machine learning: 5 trends to watch around algorithms, cloud, IoT, and big data - GeekWire"
5051167660880461112,5051167660880461112,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption","Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Nashorn: JavaScript made great in Java 8,Tech in Brazil is booming despite the country's political troubles,Gold Backed Digix Raises Millions in Hours on Ethereum Blockchain Crowdsale
5053372977408537204,5053372977408537204,O Empreendedorismo no Mercado de Seguros,Principais startups do ramo de saúde criam o 1o Cluster de Saúde Digital do Brasil | EXAME.com,VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,Adobe and Microsoft Partner in the Azure Cloud to Help Businesses Transform Customer Engagement,Hero unveils a new home gadget to help you track and dispense pills
5062670850994683718,5062670850994683718,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),Achievement Unlocked : AWS Certified Solutions Architect Professional,UE não dá sossego ao Google. Novo alvo? O AdSense
5082053563644129584,5082053563644129584,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software
5087084654882097891,5087084654882097891,Dries Buytaert,"Waterwheel, the Drupal SDK Ecosystem","Thunder, a Drupal distribution for publishers",A simple approach to PCI DSS compliance for Google Cloud Platform,Announcing pricing for Google Stackdriver
5088013394045185972,5088013394045185972,Spotify UI built with HTML / CSS - Freebiesbug,How I sped up the initial render of my Polymer app by 86%,Infrequently Noted,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",From fine wine to lotteries: Blockchain tech takes off - BBC News
5092635400707338872,5092635400707338872,"Need Some AI? Yeah, There's a Marketplace for That",Automation and anxiety,The Internet of Things is looking for its VisiCalc,A Beginner's Guide To Understanding Convolutional Neural Networks,Machine Learning Is Redefining The Enterprise In 2016
5109221095427625188,5109221095427625188,Digital Leadership Is Not an Optional Part of Being a CEO,"Heroína, nazistas e agente laranja: por dentro da fusão do ano",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Is FinTech Forcing Banking to a Tipping Point?,Why Uber Is Killing the Bank (And What That Means for Everything Else)
5145921881592486583,5145921881592486583,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",8 things to expect from Google's biggest event of the year,Behold.ai launches artificially intelligent medical software to find abnormalities faster,Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,Twitter adds a button to help you train its algorithm
5152069678055228801,5152069678055228801,Digital Leadership Is Not an Optional Part of Being a CEO,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,The new tech talent you need to succeed in digital
5162508842577612756,5162508842577612756,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Como são escrita as risadas em japonês? - Suki Desu,40 Basic Japanese conversations,"The Algorithm March, Japan's Strangely Entertaining Exercise",Portugal runs for four days straight on renewable energy alone
5163772683749067995,5163772683749067995,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Blaise Agüera y Arcas: How computers are learning to be creative,America's allies are preparing for a bumpy ride,Five things to include in your digital transformation playbook,"SpaceNet satellite imagery repository launched by DigitalGlobe, CosmiQ Works and NVIDIA on AWS"
5183878957903248326,5183878957903248326,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,"Need Some AI? Yeah, There's a Marketplace for That",Skully officially admits it's over,The barbell effect of machine learning.,Deep learning software knows that a rose is a rose is a rosa rubiginosa
5189107351987144723,5189107351987144723,Curso Gratuito Como tornar seu negócio escalável e inovador,Portal Mercado & Consumo,"Fresco, sim! - Android Dev BR",Rakuten é premiada como melhor plataforma de e-commerce do varejo brasileiro,Citroën lança e-commerce de carros
5189433264884433830,5189433264884433830,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,Dries Buytaert,"Waterwheel, the Drupal SDK Ecosystem","Open Source Won. So, Now What?"
5199666313044493096,5199666313044493096,A New Number Format for Computers Could Nuke Approximation Errors for Good,Docker Engine 1.11 with runC: Announcing the general availability of the industry's first OCI-compliant runtime,Omnitone: Spatial audio on the web,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,"YouTube pode lançar serviço de televisão online ""Unplugged"" em 2017 | Google Discovery"
5206308811707978799,5206308811707978799,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Two Different Sales Motions . . . .,How AWS came to be,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist
5211673327552264703,5211673327552264703,"Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",All Together Now. Introducing G Suite.,"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live","Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",Google: Here's how a software update knocked out our App Engine cloud | ZDNet
5217724704513784613,5217724704513784613,Android - The dark side of Jack and Jill,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%)
5227822864949117283,5227822864949117283,America's allies are preparing for a bumpy ride,Five things to include in your digital transformation playbook,Walmart compra startup para brigar com Amazon | EXAME.com,Scrum Community - Scrum Alliance,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together
5237574390644778994,5237574390644778994,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Apple acquires Turi, a machine learning company",Graph-powered Machine Learning at Google,Event Map For Google I/O 2016 Released,New Sessions Added To Google I/O 2016 Schedule
5238119115012015307,5238119115012015307,An operating model for company-wide agile development,Optimize Your Agile Growth Strategy with Cloud,Staying one step ahead at Pixar: An interview with Ed Catmull,Big IT Rising,NOW NEW NEXT: How growth champions create new value
5239464617027010625,5239464617027010625,1% das empresas dominam 94% das receitas na App Store,Global Data Bank é lançado internacionalmente com operação no Brasil,55 fornecedores de TI que apresentarão novidades no Ciab 2016,Google Unveiled A Partnership With Levi's To Create Smart Clothing,"Facebook says 10K+ developers are building chatbots, analytics coming"
5250363310227021277,5250363310227021277,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,Building a high-throughput data science machine,The AI business landscape,Text summarization with TensorFlow,Restb.ai: Why custom computer vision as a service makes sense | ZDNet
5258604889412591249,5258604889412591249,Services | RaRe Technologies,Google's Cloud Machine Learning service is now in public beta,Graph-powered Machine Learning at Google,TPOT: A Python tool for automating data science,Algorithms and architecture for job recommendations
5263606973029607223,5263606973029607223,Taking Microservices Home - NGINX,johnpapa/angular-styleguide,Chip Pro sequel to crowdsourced $9 computer sets its sights on gadget makers,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil
5266164468981660031,5266164468981660031,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",This is the scientific reason we're addicted to our phones,"SINAIS do FUTURO imediato: #1, internet das coisas",Setting and Calculating a Web Performance Budget,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery"
5269583152423890030,5269583152423890030,"Android N Developer Preview 2, out today! | Android Developers Blog",Sesi oferece curso de LIBRAS com certificação de 40 horas,Governo busca empresas para aprimorar Internet das Coisas no Brasil,Android Quickstart - Firebase,"ConstraintLayout, Inside and Out: Part 2"
5270696484536580646,5270696484536580646,JPMorgan is Quietly Developing a Private Ethereum Blockchain - CoinDesk,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,A digital crack in banking's business model,"Estonia wants to become a 'country as a service' and already has 10,000 virtual residents","Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans"
5271898714958115766,5271898714958115766,Pebble Core guide: All you need to know about the wearable for runners,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices","IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas","Parece árvore, mas é uma turbina eólica",Aussie Uses Arduino Chips To Roboticize a Ford Focus
5281570276277574938,5281570276277574938,What DeepMind brings to Alphabet,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,AI Revolution 101 - AI Revolution,Microsoft's Open Source Love Affair Reaches New Heights
5293701842202310496,5293701842202310496,How to get the most from your agency relationships in 2017,BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile,Meio&Mensagem,"Zendesk's ""Automatic Answers"" taps machine learning, AI to generate bot-style email responses",How AWS came to be
5302085907556673015,5302085907556673015,Write Like You Talk,9 Non-Threatening Leadership Strategies for Women,Netflix emociona com vídeo destacando personagens LGBT,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC"
5304344058087060692,5304344058087060692,The omnichannel customer experience is poised to take off in regulated industries,Why the customer experience matters,Onde a tecnologia e o cuidado se encontram? - Saúde Business,big data = real time,[Framework] Lean IT Governance
5311977399951270341,5311977399951270341,How to approach machine learning as a non-technical person,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,Introducing JQL: A Query Language for Analytics,Behind Facebook Messenger's plan to be an app platform,The gig economy as a driver of innovation
5313335392004163852,5313335392004163852,Apple e Google querem que você pague por assinatura em apps,Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data,Client-side ranking to more efficiently show people stories in feed,Here are the SDKs Top Mobile Apps Use,Webinar Salesforce - Best Practices for Advanced Lightning Apps
5314107418764884230,5314107418764884230,"Apple acquires Turi, a machine learning company",Event Map For Google I/O 2016 Released,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",New Sessions Added To Google I/O 2016 Schedule,DeepMind moves to TensorFlow
5317978293082383492,5317978293082383492,The future of SaaS hosted git repository pricing,Docker Cleanup Scripts Comparison,CoreOS's rkt Container Engine Hits 1.0,The Top 10 Most Common Mistakes That Node.js Developers Make,Google Is About to Supercharge Its TensorFlow Open Source AI
5328558001212551235,5328558001212551235,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,NOW NEW NEXT: How growth champions create new value,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,PCI Compliance & Drupal Commerce: Which Payment Gateway Should I Choose?,Who sponsors Drupal development? | Dries Buytaert
5333141914314968598,5333141914314968598,The 7 Coolest Virtual Reality Experiences Made with Hololens So Far,Android Quickstart - Firebase,Sesi oferece curso de LIBRAS com certificação de 40 horas,"Android N Developer Preview 2, out today! | Android Developers Blog",Deep Learning Demystified
5336562616168017846,5336562616168017846,Taking Microservices Home - NGINX,Spring Boot 1.4 released,Building Spring Cloud Microservices That Strangle Legacy Systems,Learn Microservices in Java - DZone - Refcardz,Introduction to Spring REST Docs | Baeldung
5338677278233757627,5338677278233757627,Everything you need to know about the big changes coming to Newark airport,Manhattan CRE prices spark a mass exodus of startups to Brooklyn,"A sneak peek at Google's upcoming travel app, Trips","Google's head of advertising talks ad blocking, mobile and micropayments",Ray Kurzweil: The world isn't getting worse - our information is getting better
5350829677696205474,5350829677696205474,Understanding the Twitter topic Tracker,Why Steve Jobs Was Proud to Steal Ideas,Caravel: Airbnb's data exploration platform - Airbnb Engineering & Data Science,Terms Aggregation in Elastic Search,Why Deep Learning Is Suddenly Changing Your Life
5384282624557636856,5384282624557636856,SpotHero is ready for the future of autonomous parking,What do Design Thinking and Marketing have in common?,3 Pillars of the Most Successful Tech Products,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",TI Bimodal? Receita para o desastre...
5395784585257808296,5395784585257808296,Adobe CQ/Adobe AEM,AEM 6.1 Package Manager Metadata Files,Configuring OSGi,Adobe CQ/Adobe AEM,How to Install and Use the Linux Bash Shell on Windows 10
5395868751435718725,5395868751435718725,Google lança novos recursos para o Analytics,Unilever: The biggest digital start-up in the world?,Que novas oportunidades poderemos criar com Blockchain? - CIO,A publicidade sem ROI acaba de morrer: adapte-se ou junte-se a ela - Meio & Mensagem,"Razorfish, US digital revenues, drag down Publicis"
5398961846611539065,5398961846611539065,Introducing the Startup Battlefield companies of Disrupt NY 2016,"Google acquires Synergyse, an interactive training service for Google Apps","Google launches Springboard, an AI-powered assistant for its enterprise customers",Fuchsia: Google está construindo um novo sistema operacional sem estrutura do Linux | Google Discovery,Sesi oferece curso de LIBRAS com certificação de 40 horas
5401376580769090495,5401376580769090495,Mobile banking conquista o coração dos brasileiros,Blockchain Will Be Used By 15% of Big Banks By 2017,Nubank começa a testar seu programa de fidelidade - Empresas Tech,CMN regulamenta abertura de conta de depósito por meio eletrônico,"Say goodbye to traditional customer segmentation "" Banking Technology"
5410293063635507608,5410293063635507608,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Program your way to your next grocery delivery,Ultimate AI battle - Apple vs. Google,Object calisthenics: Change the way you code,Nova versão do SAP Hybris Commerce vai ser apresentada durante o Forum E-Commerce Brasil 2016 - B!T magazine
5410603488837817052,5410603488837817052,MOBILE TIME - Santander lança app dedicado aos clientes do ensino superior,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,"Sompo Seguros aproveita ""onda"" do Pokémon Go para alertar sobre segurança no trânsito | Sonho Seguro","""It's time for self-directed 'smart' investing"" - An Interview With Swanest CEO Silvan Schumacher - Smart Money Smart Living","XP lançará robô que seleciona melhores investimentos para clientes, diz CEO"
5424502143558028097,5424502143558028097,Post: Just Say mNo to Hungarian Notation,ConstraintLayout - Part 1,Readable Content Guides,Firebase Test Lab for Android,Optimizing the Performance of Vector Drawables - upday devs
5429045128339158843,5429045128339158843,What Happens When No One and Everyone Owns a Product? - Built to Adapt,Aplicações Financeiras Flexíveis através de DSLs na Plataforma Java,Introducing Kotlin support in Spring Framework 5.0,Spring Boot 1.4 released,Introduction to Spring REST Docs | Baeldung
5429923407915345742,5429923407915345742,This Tiny Robot Lets You Play God With Huge AI,New free Trend Briefing from TrendWatching | INNOVATION CELEBRATION 2016,U.S. Track Cycling Team Training for Rio Olympics with Smart Sunglasses,Google Fiber agrees to acquire Webpass,3M e o perfil intraempreendedor | Endeavor Brasil
5431399346444238856,5431399346444238856,The AI business landscape,DeepMind moves to TensorFlow,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Apple acquires Turi, a machine learning company"
5439554346835640135,5439554346835640135,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Creating value in auto finance with vLendRight | Kevin Moseri,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,"Heroína, nazistas e agente laranja: por dentro da fusão do ano"
5441077925667941052,5441077925667941052,X-Men | São Paulo vai receber exposição sobre filmes da saga,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,"Apple's new file manager, APFS, is awesome","""We only hire the best"" - Signal v. Noise"
5445999759138709405,5445999759138709405,The Future of Digital Banking is Now,Olhando para o futuro: 5 pontos de atenção,Uso de API's no mercado de serviços financeiros,Nubank e Goldman fecham parceria de R$ 200 milhões,How Etsy Does Continuous Integration for Mobile Apps
5468598741732935699,5468598741732935699,Digital Leadership Is Not an Optional Part of Being a CEO,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,How Mature is Your Organization when it Comes to UX?,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento
5484061377044071389,5484061377044071389,Modelando APIs REST com Swagger,bliki: StranglerApplication,Xamarin for Everyone,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Dr. consulta: uma revolução no setor da saúde
5514214996211995551,5514214996211995551,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Effective learning through code workshops | Box Blog,Chip Pro sequel to crowdsourced $9 computer sets its sights on gadget makers,The Business Case for Progressive Web Apps,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil
5524888769622800245,5524888769622800245,Spring Boot 1.4 released,Introduction to Spring REST Docs | Baeldung,Taking Microservices Home - NGINX,"Globo.com Uses NGINX for Streaming Media to 500,000+ Viewers",The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
5530820581773167955,5530820581773167955,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,PICNIC,A importância dos filmes de mulherzinha - Capitolina,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,Empresa britânica adota licença remunerada no período menstrual
